corpus,language,collection,is_alpha,is_ascii,is_digit,is_lower,is_upper,is_title,is_punct,is_left_punct,is_right_punct,is_space,is_bracket,is_quote,is_currency,like_url,like_num,like_email,is_stop
biomedical,German,,0.784,0.9423,0.0162,0.5405,0.0191,0.2456,0.1805,0.0191,0.0166,0.0112,0.0264,0.0054,0.0,0.0002,0.0188,0.0,0.394
cq,German,,0.8196,0.9445,0.0092,0.5654,0.0097,0.2599,0.1541,0.0092,0.0082,0.0181,0.0117,0.0031,0.0001,0.0002,0.0128,0.0,0.4582
general,German,,0.8173,0.9436,0.0075,0.5717,0.0058,0.2536,0.1566,0.0089,0.0082,0.0267,0.0095,0.0041,0.0001,0.0002,0.0129,0.0,0.4653
human,German,,0.8575,0.9448,0.0089,0.5891,0.0028,0.2688,0.127,0.0005,0.0005,0.0004,0.0008,0.0001,0.0,0.0,0.0113,0.0,0.5641
human_cq,German,,0.8567,0.9448,0.0081,0.5766,0.0043,0.2799,0.1297,0.0009,0.0009,0.0003,0.0014,0.0002,0.0,0.0,0.0083,0.0,0.5542
human_pq,German,,0.8629,0.945,0.002,0.616,0.0016,0.2471,0.1326,0.0001,0.0001,0.0005,0.0003,0.0,0.0,0.0,0.0021,0.0,0.5984
human_whq,German,,0.8386,0.9442,0.0376,0.5158,0.0035,0.325,0.0984,0.0007,0.0007,0.0005,0.0015,0.0,0.0,0.0,0.0553,0.0,0.4553
large,German,,0.8555,0.9411,0.0064,0.6081,0.0015,0.2494,0.1334,0.0011,0.0009,0.0223,0.0016,0.0002,0.0,0.0,0.0074,0.0,0.5549
large_cq,German,,0.8492,0.947,0.0088,0.5884,0.0021,0.2649,0.1355,0.0016,0.0012,0.0226,0.0028,0.0,0.0,0.0,0.009,0.0,0.5513
large_general,German,,0.8555,0.9411,0.0064,0.6081,0.0015,0.2494,0.1334,0.0011,0.0009,0.0223,0.0016,0.0002,0.0,0.0,0.0074,0.0,0.5549
large_general_cq,German,,0.8492,0.947,0.0088,0.5884,0.0021,0.2649,0.1355,0.0016,0.0012,0.0226,0.0028,0.0,0.0,0.0,0.009,0.0,0.5513
large_general_pq,German,,0.8608,0.9387,0.0024,0.6268,0.001,0.2349,0.1351,0.0006,0.0005,0.0197,0.0008,0.0001,0.0,0.0,0.0024,0.0,0.5669
large_general_whq,German,,0.8506,0.9377,0.0145,0.5854,0.002,0.2665,0.1244,0.002,0.0015,0.0297,0.0019,0.0009,0.0,0.0,0.02,0.0,0.5236
large_pq,German,,0.8608,0.9387,0.0024,0.6268,0.001,0.2349,0.1351,0.0006,0.0005,0.0197,0.0008,0.0001,0.0,0.0,0.0024,0.0,0.5669
large_whq,German,,0.8506,0.9377,0.0145,0.5854,0.002,0.2665,0.1244,0.002,0.0015,0.0297,0.0019,0.0009,0.0,0.0,0.02,0.0,0.5236
medium,German,,0.8186,0.944,0.0086,0.5728,0.0067,0.2531,0.1545,0.0091,0.0081,0.0218,0.0096,0.0044,0.0,0.0001,0.0144,0.0,0.473
medium_biomedical,German,,0.8315,0.9459,0.0117,0.6,0.0126,0.2357,0.144,0.011,0.0081,0.0008,0.0143,0.0039,0.0,0.0,0.0136,0.0,0.4488
medium_biomedical_cq,German,,0.8252,0.9515,0.0148,0.5824,0.0145,0.2482,0.1465,0.0099,0.0082,0.0008,0.0134,0.0035,0.0,0.0001,0.0162,0.0,0.4281
medium_biomedical_pq,German,,0.8441,0.9424,0.0059,0.6232,0.0105,0.2248,0.1401,0.009,0.0066,0.0004,0.0114,0.0034,0.0,0.0,0.007,0.0,0.4808
medium_biomedical_whq,German,,0.806,0.9462,0.0234,0.5639,0.0153,0.2452,0.1505,0.0184,0.0122,0.0019,0.0243,0.0058,0.0,0.0,0.0281,0.0,0.3925
medium_cq,German,,0.826,0.9475,0.0089,0.5734,0.0083,0.2602,0.1467,0.0077,0.0069,0.0184,0.0088,0.0034,0.0,0.0001,0.0139,0.0,0.4667
medium_general,German,,0.8155,0.9435,0.0079,0.5664,0.0053,0.2572,0.157,0.0087,0.0081,0.0268,0.0085,0.0045,0.0,0.0001,0.0146,0.0,0.4787
medium_general_cq,German,,0.8262,0.9465,0.0075,0.5713,0.0069,0.2631,0.1467,0.0072,0.0066,0.0227,0.0077,0.0034,0.0,0.0001,0.0134,0.0,0.476
medium_general_pq,German,,0.8159,0.942,0.0057,0.5763,0.0044,0.2475,0.1604,0.0082,0.0075,0.0267,0.007,0.0046,0.0,0.0001,0.0122,0.0,0.492
medium_general_whq,German,,0.7948,0.943,0.0155,0.5267,0.0054,0.2769,0.165,0.013,0.0125,0.0344,0.0145,0.0059,0.0,0.0001,0.0245,0.0,0.442
medium_pq,German,,0.8212,0.9421,0.0057,0.5851,0.0055,0.2433,0.1566,0.0084,0.0073,0.0217,0.0079,0.0044,0.0,0.0001,0.0112,0.0,0.4899
medium_whq,German,,0.797,0.9436,0.0171,0.5341,0.0074,0.2706,0.1621,0.0141,0.0124,0.0279,0.0165,0.0059,0.0,0.0001,0.0252,0.0,0.4322
not-human,German,,0.8075,0.9432,0.0101,0.5625,0.0097,0.2512,0.1637,0.0119,0.0107,0.0221,0.0144,0.0045,0.0001,0.0002,0.0147,0.0,0.4443
not-human_cq,German,,0.8153,0.9445,0.0093,0.5641,0.0103,0.2576,0.1569,0.0101,0.0091,0.0201,0.013,0.0035,0.0001,0.0002,0.0133,0.0,0.4471
not-human_pq,German,,0.8085,0.9421,0.0083,0.5717,0.0088,0.2432,0.1656,0.0115,0.0104,0.0218,0.0131,0.0047,0.0001,0.0002,0.0126,0.0,0.4547
not-human_whq,German,,0.7903,0.9441,0.0167,0.5318,0.0116,0.2644,0.1697,0.0166,0.0147,0.0266,0.0212,0.0057,0.0001,0.0002,0.0233,0.0,0.4077
pq,German,,0.8136,0.9424,0.0077,0.5759,0.0081,0.2435,0.1625,0.0104,0.0094,0.0198,0.0119,0.0043,0.0001,0.0002,0.0116,0.0,0.4683
small,German,,0.7724,0.9416,0.0138,0.5265,0.0185,0.2504,0.191,0.0206,0.0189,0.0201,0.0283,0.0057,0.0003,0.0004,0.0165,0.0,0.3546
small_biomedical,German,,0.7489,0.9396,0.0195,0.4964,0.024,0.253,0.2076,0.0252,0.023,0.0189,0.0353,0.0065,0.0,0.0004,0.0227,0.0,0.3534
small_biomedical_cq,German,,0.761,0.9388,0.0145,0.5072,0.0219,0.2546,0.2022,0.0212,0.0192,0.0199,0.0301,0.0052,0.0,0.0003,0.0176,0.0,0.3643
small_biomedical_pq,German,,0.7421,0.938,0.022,0.4927,0.0236,0.2509,0.2107,0.0257,0.0235,0.0182,0.0356,0.0068,0.0,0.0006,0.025,0.0,0.3561
small_biomedical_whq,German,,0.7472,0.9457,0.021,0.4886,0.0285,0.2561,0.2078,0.0303,0.0279,0.0191,0.043,0.0076,0.0001,0.0001,0.025,0.0,0.3274
small_cq,German,,0.7852,0.9371,0.0102,0.5353,0.0168,0.2532,0.1845,0.0174,0.0158,0.0209,0.0247,0.0043,0.0004,0.0003,0.0125,0.0,0.3819
small_general,German,,0.8068,0.9445,0.0056,0.5704,0.0106,0.2466,0.1668,0.0139,0.0128,0.0219,0.0182,0.0046,0.0008,0.0005,0.0073,0.0,0.3564
small_general_cq,German,,0.8198,0.9348,0.004,0.5756,0.0094,0.2511,0.1592,0.012,0.011,0.0222,0.017,0.0031,0.0009,0.0004,0.0051,0.0,0.4071
small_general_pq,German,,0.8044,0.9498,0.0057,0.5745,0.0103,0.2416,0.1687,0.0142,0.0139,0.021,0.0172,0.0058,0.0007,0.0003,0.0075,0.0001,0.3335
small_general_whq,German,,0.7901,0.9466,0.0081,0.5489,0.0137,0.2532,0.1755,0.0165,0.0132,0.0239,0.0232,0.0038,0.0007,0.0014,0.0109,0.0,0.3319
small_pq,German,,0.7675,0.9428,0.0153,0.526,0.0182,0.2471,0.1936,0.021,0.0196,0.0194,0.0281,0.0064,0.0003,0.0005,0.0179,0.0,0.3469
small_whq,German,,0.764,0.9461,0.016,0.5123,0.0227,0.255,0.1951,0.0249,0.0221,0.021,0.0353,0.0061,0.0003,0.0006,0.0195,0.0,0.3291
whq,German,,0.7939,0.9441,0.0182,0.5306,0.011,0.2689,0.1644,0.0154,0.0136,0.0247,0.0197,0.0053,0.0001,0.0002,0.0257,0.0,0.4113
